movie_title,year,occasion,top_10_gross_in_millions,overall_gross_in_millions,top10_wow_change,overall_wow_change,top10_gross,overall_gross,num_releases,week_no,date
ride along 2,2016,normal weekend,145.5,166.0,+1.8%,+4.2%,145502232,166004623,86,3,Jan 15-17
star wars: episode vii - the force awakens,2016,normal weekend,142.91,159.32,-28%,-27.4%,142912699,159323600,91,2,Jan 8-10
star wars: episode vii - the force awakens,2016,normal weekend,198.54,219.51,-27.3%,-26%,198537624,219510014,82,1,Jan 1-3
star wars: episode viii - the last jedi,2017,New Year's long wknd,226.05,253.44,-,-,226045913,253441683,67,52,"Dec 29-Jan 1, 2018"
star wars: episode viii - the last jedi,2017,normal weekend,173.34,194.1,+5.5%,+8.9%,173344651,194096602,74,52,Dec 29-31
star wars: episode viii - the last jedi,2017,Christmas long wknd,236.56,259.57,-,-,236559567,259567981,62,51,Dec 22-25
star wars: episode viii - the last jedi,2017,normal weekend,164.3,178.17,-38.5%,-35.9%,164303262,178168406,72,51,Dec 22-24
star wars: episode viii - the last jedi,2017,normal weekend,267.19,278.07,+278.2%,+227.6%,267186366,278067957,86,50,Dec 15-17
coco,2017,normal weekend,70.64,84.87,-27%,-19.4%,70644026,84873861,108,49,Dec 8-10
coco,2017,Post-Thanksgiving,96.71,105.27,-45.8%,-44.3%,96708952,105270560,111,48,Dec 1-3
coco,2017,Thanksgiving 3-Day,178.5,188.84,-7.4%,-5.2%,178495539,188835224,99,47,Nov 24-26
coco,2017,Thanksgiving 4-Day,212.42,222.84,-,-,212423997,222844449,60,47,Nov 23-26
coco,2017,Thanksgiving 5-Day,255.51,267.47,-,-,255508291,267474764,61,47,Nov 22-26
justice league,2017,normal weekend,192.82,199.22,+39.9%,+31.4%,192816366,199223159,111,46,Nov 17-19
thor: ragnarok,2017,normal weekend,137.87,151.56,-16.3%,-15.9%,137873693,151562937,124,45,Nov 10-12
thor: ragnarok,2017,normal weekend,164.64,180.28,+184.4%,+134.6%,164643982,180275276,126,44,Nov 3-5
jigsaw,2017,normal weekend,57.9,76.86,-24.2%,-19.9%,57899380,76856088,128,43,Oct 27-29
boo 2! a madea halloween,2017,normal weekend,76.41,95.98,-13.9%,-4.5%,76408192,95980741,137,42,Oct 20-22
happy death day,2017,normal weekend,88.77,100.46,-8.5%,-4.8%,88765700,100461379,135,41,Oct 13-15
blade runner 2049,2017,Indig. Peoples' Day wknd,112.15,121.08,-,-,112153933,121081241,67,40,Oct 6-9
blade runner 2049,2017,normal weekend,97.0,105.56,+20.9%,+16.2%,97001069,105557205,132,40,Oct 6-8
kingsman: the golden circle,2017,normal weekend,80.26,90.85,-26%,-23%,80260428,90846336,131,39,Sep 29-Oct 1
kingsman: the golden circle,2017,normal weekend,108.47,117.92,+6.8%,+5.1%,108472634,117918784,131,38,Sep 22-24
it,2017,normal weekend,101.57,112.22,-33.6%,-31.6%,101574131,112222203,143,37,Sep 15-17
it,2017,normal weekend,153.03,164.04,+213.2%,+111.3%,153028668,164044803,135,36,Sep 8-10
the hitman's bodyguard,2017,normal weekend,48.87,77.63,+6%,+12%,48865218,77634434,125,35,Sep 1-3
the hitman's bodyguard,2017,Labor Day wknd,61.71,97.87,-,-,61708167,97866622,121,35,Sep 1-4
the hitman's bodyguard,2017,normal weekend,46.12,69.31,-39.1%,-28.2%,46116140,69312122,130,34,Aug 25-27
the hitman's bodyguard,2017,normal weekend,75.68,96.49,-20.5%,-17.5%,75677045,96486715,124,33,Aug 18-20
annabelle: creation,2017,normal weekend,95.25,116.91,-9.7%,-4.8%,95249031,116913742,123,32,Aug 11-13
the dark tower,2017,normal weekend,105.44,122.79,-21.4%,-15%,105440174,122787940,106,31,Aug 4-6
dunkirk,2017,normal weekend,134.07,144.4,-22.5%,-20.1%,134073732,144397313,122,30,Jul 28-30
dunkirk,2017,normal weekend,172.93,180.8,+10.8%,+10.7%,172931486,180801251,114,29,Jul 21-23
war for the planet of the apes,2017,normal weekend,156.07,163.32,-21.3%,-20.9%,156068438,163324876,109,28,Jul 14-16
spider-man: homecoming,2017,normal weekend,198.32,206.49,+26.2%,+21.5%,198323345,206488903,109,27,Jul 7-9
despicable me 3,2017,July 4th long wknd,221.24,239.32,-,-,221241108,239317563,77,26,Jun 30-Jul 4
despicable me 3,2017,normal weekend,157.21,169.89,+20.9%,+20.6%,157207541,169890949,110,26,Jun 30-Jul 2
transformers: the last knight,2017,normal weekend,130.02,140.83,-27.3%,-26.1%,130023273,140826843,109,25,Jun 23-25
cars 3,2017,normal weekend,178.93,190.58,+30.3%,+32.2%,178932468,190580340,115,24,Jun 16-18
wonder woman,2017,normal weekend,137.31,144.18,-23.3%,-22.4%,137307539,144176376,108,23,Jun 9-11
wonder woman,2017,normal weekend,179.02,185.84,+33.6%,+30.6%,179022383,185842459,110,22,Jun 2-4
pirates of the caribbean: dead men tell no tales,2017,normal weekend,133.99,142.34,+16.2%,+14.4%,133992099,142341187,103,21,May 26-28
pirates of the caribbean: dead men tell no tales,2017,Memorial Day wknd,169.81,180.52,-,-,169805597,180517134,88,21,May 26-29
alien: covenant,2017,normal weekend,115.33,124.44,-7.4%,-8.5%,115331687,124441368,111,20,May 19-21
guardians of the galaxy vol. 2,2017,normal weekend,124.52,136.0,-32.5%,-30.3%,124517741,136001326,114,19,May 12-14
guardians of the galaxy vol. 2,2017,normal weekend,184.36,195.1,+128.2%,+95.5%,184356127,195098085,109,18,May 5-7
the fate of the furious,2017,normal weekend,80.79,99.78,-11.1%,-7.3%,80793191,99778230,112,17,Apr 28-30
the fate of the furious,2017,normal weekend,90.93,107.65,-41.7%,-36.2%,90926040,107650168,110,16,Apr 21-23
the fate of the furious,2017,normal weekend,155.86,168.61,+46.6%,+40.4%,155863273,168607242,104,15,Apr 14-16
the fate of the furious,2017,Easter wknd,173.24,186.51,-,-,173236946,186508700,50,15,Apr 14-17
the boss baby,2017,normal weekend,106.29,120.08,-34.2%,-29.2%,106287914,120077853,103,14,Apr 7-9
the boss baby,2017,normal weekend,161.65,169.55,-16.1%,-16.1%,161650523,169546152,100,13,Mar 31-Apr 2
beauty and the beast,2017,normal weekend,192.65,202.07,-23.6%,-22.5%,192647503,202066084,100,12,Mar 24-26
beauty and the beast,2017,normal weekend,252.23,260.82,+68.9%,+59%,252225276,260823456,103,11,Mar 17-19
kong: skull island,2017,normal weekend,149.36,164.0,-11.1%,-13.5%,149362845,163997836,107,10,Mar 10-12
logan,2017,normal weekend,168.01,189.7,+61.8%,+52.8%,168014995,189697727,100,9,Mar 3-5
get out,2017,normal weekend,103.86,124.13,-19.4%,-17.6%,103860378,124126169,87,8,Feb 24-26
the lego batman movie,2017,Presidents' Day wknd,155.8,181.71,-,-,155796460,181707401,68,7,Feb 17-20
the lego batman movie,2017,normal weekend,128.86,150.63,-24.7%,-20.1%,128860229,150631026,80,7,Feb 17-19
the lego batman movie,2017,normal weekend,171.09,188.59,+126.1%,+90%,171094497,188591354,87,6,Feb 10-12
split,2017,normal weekend,75.66,99.24,-32.2%,-30.1%,75662315,99239960,97,5,Feb 3-5
split,2017,normal weekend,111.65,141.98,-7.1%,-2.1%,111650133,141980332,85,4,Jan 27-29
split,2017,normal weekend,120.21,145.01,+1%,-2.9%,120214041,145007859,89,3,Jan 20-22
hidden figures,2017,normal weekend,119.06,149.37,-1.2%,+8.7%,119057524,149365311,80,2,Jan 13-15
hidden figures,2017,MLK wknd,147.71,185.21,-,-,147714852,185210740,66,2,Jan 13-16
hidden figures,2017,normal weekend,120.49,137.41,-27.6%,-26.4%,120491633,137405045,88,1,Jan 6-8
aquaman,2018,New Year's long wknd,254.55,288.85,-,-,254547234,288846349,53,52,"Dec 28-Jan 1, 2019"
aquaman,2018,normal weekend,165.72,188.21,+1.5%,+5.5%,165718403,188210389,78,52,Dec 28-30
aquaman,2018,Christmas long wknd,260.36,291.02,-,-,260363074,291020519,60,51,Dec 21-25
aquaman,2018,normal weekend,163.3,178.36,+60.7%,+48.1%,163297800,178360577,76,51,Dec 21-23
spider-man: into the spider-verse,2018,normal weekend,101.64,120.46,+37.6%,+40.4%,101640559,120463418,100,50,Dec 14-16
ralph breaks the internet,2018,normal weekend,73.88,85.82,-30.4%,-28.3%,73877715,85822147,100,49,Dec 7-9
ralph breaks the internet,2018,Post-Thanksgiving,106.19,119.7,-47.9%,-44.7%,106190738,119701329,104,48,Nov 30-Dec 2
ralph breaks the internet,2018,Thanksgiving 3-Day,203.84,216.48,+26.3%,+23.9%,203836618,216475781,99,47,Nov 23-25
ralph breaks the internet,2018,Thanksgiving 4-Day,243.9,257.93,-,-,243903928,257931535,64,47,Nov 22-25
ralph breaks the internet,2018,Thanksgiving 5-Day,298.63,314.86,-,-,298630062,314861631,64,47,Nov 21-25
fantastic beasts: the crimes of grindelwald,2018,normal weekend,161.44,174.71,+5.8%,+3.8%,161437498,174705199,107,46,Nov 16-18
the grinch,2018,normal weekend,152.58,168.34,+17.9%,+15.4%,152580543,168344121,113,45,Nov 9-11
bohemian rhapsody,2018,normal weekend,129.38,145.82,+42.2%,+38%,129384786,145822119,119,44,Nov 2-4
halloween,2018,normal weekend,90.99,105.67,-41.7%,-36.4%,90992092,105667363,119,43,Oct 26-28
halloween,2018,normal weekend,155.99,166.08,+23.7%,+21.5%,155990869,166083062,111,42,Oct 19-21
venom,2018,normal weekend,126.14,136.74,-25.4%,-23.6%,126136778,136738283,126,41,Oct 12-14
venom,2018,Indig. Peoples' Day wknd,193.1,203.4,-,-,193103101,203404722,73,40,Oct 5-8
venom,2018,normal weekend,168.98,178.86,+83.4%,+68%,168979851,178863365,122,40,Oct 5-7
night school,2018,normal weekend,92.14,106.44,+17.7%,+15.3%,92141186,106442479,130,39,Sep 28-30
the house with a clock in its walls,2018,normal weekend,78.32,92.32,-16.7%,-15.4%,78315568,92316508,124,38,Sep 21-23
the predator,2018,normal weekend,94.0,109.13,-11.6%,-9.9%,94001600,109133476,130,37,Sep 14-16
the nun,2018,normal weekend,106.33,121.11,+44.1%,+21.9%,106333196,121114594,112,36,Sep 7-9
crazy rich asians,2018,Labor Day wknd,96.3,129.33,-,-,96296736,129333336,95,35,Aug 31-Sep 3
crazy rich asians,2018,normal weekend,73.8,99.37,-12.7%,-4.1%,73798836,99366551,108,35,Aug 31-Sep 2
crazy rich asians,2018,normal weekend,84.56,103.66,-23.6%,-19.9%,84558009,103657410,113,34,Aug 24-26
crazy rich asians,2018,normal weekend,110.72,129.47,-12.8%,-12.1%,110718157,129469267,114,33,Aug 17-19
the meg,2018,normal weekend,126.98,147.3,+6%,+5.4%,126978553,147302462,100,32,Aug 10-12
mission: impossible - fallout,2018,normal weekend,119.74,139.75,-16.5%,-10.8%,119739621,139748359,108,31,Aug 3-5
mission: impossible - fallout,2018,normal weekend,143.33,156.59,-8.9%,-9.3%,143331278,156588266,111,30,Jul 27-29
the equalizer 2,2018,normal weekend,157.38,172.61,+2.2%,+4%,157376958,172609113,101,29,Jul 20-22
hotel transylvania 3: summer vacation,2018,World Cup (Russia),154.04,166.03,-12.9%,-12%,154037869,166028564,102,28,Jul 13-15
ant-man and the wasp,2018,World Cup (Russia),176.8,188.61,+5.7%,+4.9%,176800250,188609905,102,27,Jul 6-8
jurassic world: fallen kingdom,2018,World Cup (Russia),167.2,179.84,-37.9%,-35.2%,167201140,179844255,108,26,Jun 29-Jul 1
jurassic world: fallen kingdom,2018,World Cup (Russia),269.39,277.37,+4.2%,+2.3%,269388336,277365758,103,25,Jun 22-24
incredibles 2,2018,World Cup (Russia),258.48,271.03,+135.7%,+125.3%,258481930,271034765,104,24,Jun 15-17
ocean's eight,2018,normal weekend,109.66,120.29,+13%,+12.7%,109660193,120294762,112,23,Jun 8-10
solo: a star wars story,2018,normal weekend,97.05,106.76,-44.6%,-41.4%,97051566,106760099,115,22,Jun 1-3
solo: a star wars story,2018,normal weekend,175.04,182.05,-12.7%,-13.3%,175038242,182046016,117,21,May 25-27
solo: a star wars story,2018,Memorial Day wknd,218.13,226.99,-,-,218126709,226988305,108,21,May 25-28
deadpool 2,2018,normal weekend,200.44,209.97,+58.2%,+50.9%,200438167,209967303,122,20,May 18-20
avengers: infinity war,2018,normal weekend,126.7,139.1,-20.3%,-18%,126696435,139102219,122,19,May 11-13
avengers: infinity war,2018,normal weekend,158.99,169.55,-47.5%,-46%,158985116,169550312,115,18,May 4-6
avengers: infinity war,2018,normal weekend,303.01,313.94,+184.2%,+149.6%,303012371,313937789,125,17,Apr 27-29
a quiet place,2018,normal weekend,106.6,125.78,-19.1%,-16.2%,106600851,125778372,121,16,Apr 20-22
rampage,2018,normal weekend,131.79,150.16,-6.4%,-8.5%,131792250,150160537,117,15,Apr 13-15
a quiet place,2018,normal weekend,140.87,164.13,+22.2%,+19.6%,140865614,164133343,116,14,Apr 6-8
ready player one,2018,normal weekend,115.25,137.25,+6.1%,+5.2%,115250516,137246461,112,13,Mar 30-Apr 1
ready player one,2018,Easter wknd,130.87,154.92,-,-,130872272,154921251,59,13,Mar 30-Apr 2
pacific rim: uprising,2018,normal weekend,108.67,130.42,-8.5%,-1.8%,108669222,130423221,114,12,Mar 23-25
black panther,2018,normal weekend,118.81,132.85,-3.5%,-4.9%,118810762,132848455,114,11,Mar 16-18
black panther,2018,normal weekend,123.13,139.7,-8.3%,-6.3%,123134923,139696317,112,10,Mar 9-11
black panther,2018,normal weekend,134.28,149.12,-24.2%,-23.8%,134280505,149122522,115,9,Mar 2-4
black panther,2018,PyeongChang Olympics,177.07,195.71,-33.8%,-31.8%,177068935,195707999,110,8,Feb 23-25
black panther,2018,Presidents' Day wkndPyeongChang Olympics,323.0,346.08,-,-,323004490,346075601,91,7,Feb 16-19
black panther,2018,PyeongChang Olympics,267.36,286.75,+134.9%,+102.7%,267360455,286751803,102,7,Feb 16-18
fifty shades freed,2018,PyeongChang Olympics,113.83,141.46,+73.2%,+48.9%,113834248,141457633,105,6,Feb 9-11
jumanji: welcome to the jungle,2018,normal weekend,65.72,94.99,-35.9%,-33.6%,65718354,94988230,102,5,Feb 2-4
maze runner: the death cure,2018,normal weekend,102.48,142.99,-1.6%,+5.4%,102483376,142985855,104,4,Jan 26-28
jumanji: welcome to the jungle,2018,normal weekend,104.18,135.63,-19.4%,-14.8%,104176178,135628208,103,3,Jan 19-21
jumanji: welcome to the jungle,2018,normal weekend,129.33,159.14,-10.3%,-3.9%,129325213,159135848,95,2,Jan 12-14
jumanji: welcome to the jungle,2018,MLK wknd,158.63,195.81,-,-,158634790,195812771,76,2,Jan 12-15
jumanji: welcome to the jungle,2018,normal weekend,144.17,165.53,-16.8%,-14.7%,144171701,165531482,89,1,Jan 5-7
star wars: episode ix - the rise of skywalker,2019,normal weekend,186.8,197.19,-23.2%,-20.4%,186795018,197191326,73,52,Dec 27-29
star wars: episode ix - the rise of skywalker,2019,normal weekend,243.22,247.81,+120.2%,+110.3%,243217105,247812806,72,51,Dec 20-22
jumanji: the next level,2019,normal weekend,110.43,117.82,+38.5%,+30.4%,110431501,117816850,100,50,Dec 13-15
frozen ii,2019,Post-Thanksgiving,79.73,90.33,-52.3%,-50.1%,79725257,90326095,87,49,Dec 6-8
frozen ii,2019,Thanksgiving 3-Day,167.27,180.86,-12%,-11.7%,167269352,180855568,90,48,Nov 29-Dec 1
frozen ii,2019,Thanksgiving 4-Day,200.27,215.9,-,-,200267197,215903776,54,48,Nov 28-Dec 1
frozen ii,2019,Thanksgiving 5-Day,243.82,262.27,-,-,243818963,262269314,58,48,Nov 27-Dec 1
frozen ii,2019,normal weekend,190.15,204.91,+112.2%,+87.7%,190145821,204914094,100,47,Nov 22-24
ford v ferrari,2019,normal weekend,89.6,109.19,-10.8%,-10%,89599064,109188015,99,46,Nov 15-17
midway,2019,normal weekend,100.49,121.32,+1.2%,+5.1%,100490654,121321449,97,45,Nov 8-10
terminator: dark fate,2019,normal weekend,99.33,115.48,+8.6%,+7.4%,99329393,115484817,90,44,Nov 1-3
maleficent: mistress of evil,2019,normal weekend,91.5,107.58,-29.5%,-21.9%,91497737,107575317,113,43,Oct 25-27
maleficent: mistress of evil,2019,normal weekend,129.83,137.74,-2.3%,-2.5%,129825817,137738327,112,42,Oct 18-20
joker,2019,normal weekend,132.91,141.31,-6.9%,-6.1%,132906213,141314393,101,41,Oct 11-13
joker,2019,Indig. Peoples' Day wknd,152.83,161.05,-,-,152832766,161052554,59,41,Oct 11-14
joker,2019,normal weekend,142.71,150.56,+71.2%,+59.3%,142713298,150560443,108,40,Oct 4-6
abominable,2019,normal weekend,83.35,94.53,-26.5%,-23.4%,83354126,94527126,111,39,Sep 27-29
downton abbey,2019,normal weekend,113.37,123.43,+16.8%,+11.4%,113373910,123431530,106,38,Sep 20-22
it chapter two,2019,normal weekend,97.03,110.79,-21.4%,-20%,97031904,110793853,106,37,Sep 13-15
it chapter two,2019,normal weekend,123.5,138.42,+93.2%,+51%,123496912,138423527,92,36,Sep 6-8
angel has fallen,2019,normal weekend,63.93,91.7,-27.3%,-15.7%,63928598,91695023,99,35,Aug 30-Sep 1
angel has fallen,2019,Labor Day wknd,84.26,120.76,-,-,84263777,120764144,82,35,Aug 30-Sep 2
angel has fallen,2019,normal weekend,87.9,108.76,-13.7%,-9.6%,87899112,108764687,98,34,Aug 23-25
good boys,2019,normal weekend,101.86,120.31,-16%,-8.9%,101857634,120307107,101,33,Aug 16-18
fast & furious presents: hobbs & shaw,2019,normal weekend,121.24,132.1,-15.7%,-11.3%,121235199,132104260,92,32,Aug 9-11
fast & furious presents: hobbs & shaw,2019,normal weekend,143.89,149.0,-7.5%,-8.5%,143893312,148998871,97,31,Aug 2-4
the lion king,2019,normal weekend,155.62,162.87,-38.6%,-38.3%,155622904,162868014,97,30,Jul 26-28
the lion king,2019,normal weekend,253.57,263.88,+122.2%,+107.9%,253574574,263882516,102,29,Jul 19-21
spider-man: far from home,2019,normal weekend,114.12,126.93,-34.5%,-30.9%,114124922,126932873,103,28,Jul 12-14
spider-man: far from home,2019,normal weekend,174.21,183.81,+25.5%,+21.1%,174209668,183814074,96,27,Jul 5-7
toy story 4,2019,normal weekend,138.83,151.84,-26.9%,-25.5%,138825078,151841304,96,26,Jun 28-30
toy story 4,2019,normal weekend,189.9,203.83,+53.6%,+50%,189899923,203833169,102,25,Jun 21-23
men in black: international,2019,normal weekend,123.6,135.91,-21.9%,-18%,123601448,135914033,100,24,Jun 14-16
the secret life of pets 2,2019,normal weekend,158.33,165.73,-5.5%,-4.8%,158327825,165733750,101,23,Jun 7-9
godzilla: king of the monsters,2019,normal weekend,167.6,174.09,-3.2%,-3.9%,167597113,174090953,106,22,May 31-Jun 2
aladdin,2019,normal weekend,173.11,181.25,+23.7%,+22.2%,173109025,181249523,106,21,May 24-26
aladdin,2019,Memorial Day wknd,220.38,230.82,-,-,220383863,230819376,97,21,May 24-27
john wick: chapter 3 - parabellum,2019,normal weekend,139.9,148.37,-12.7%,-11.8%,139901024,148365208,115,20,May 17-19
avengers: endgame,2019,normal weekend,160.27,168.25,-17.3%,-15.8%,160271263,168253370,113,19,May 10-12
avengers: endgame,2019,normal weekend,193.91,199.86,-51.1%,-50.3%,193910218,199858498,113,18,May 3-5
avengers: endgame,2019,normal weekend,396.47,402.09,+316.1%,+268.2%,396469872,402087399,114,17,Apr 26-28
the curse of la llorona,2019,Easter wknd,106.1,121.56,-,-,106099675,121560823,74,16,Apr 19-22
the curse of la llorona,2019,normal weekend,95.28,109.19,-5.1%,-1.8%,95279443,109192341,122,16,Apr 19-21
shazam!,2019,normal weekend,100.44,111.17,-27.2%,-24.3%,100437182,111173940,119,15,Apr 12-14
shazam!,2019,normal weekend,137.91,146.94,+6.5%,+6.6%,137908217,146937939,117,14,Apr 5-7
dumbo,2019,normal weekend,129.48,137.83,-7%,-7.4%,129484146,137830324,120,13,Mar 29-31
us,2019,normal weekend,139.28,148.8,+10.2%,+6.4%,139284316,148803456,117,12,Mar 22-24
captain marvel,2019,normal weekend,126.42,139.8,-36.2%,-33.6%,126418468,139804590,122,11,Mar 15-17
captain marvel,2019,normal weekend,198.06,210.56,+109.9%,+81.6%,198063125,210564349,107,10,Mar 8-10
how to train your dragon: the hidden world,2019,normal weekend,94.36,115.98,-14.7%,-9.4%,94364496,115976518,115,9,Mar 1-3
how to train your dragon: the hidden world,2019,normal weekend,110.67,128.0,+5.2%,+1.4%,110669509,127999939,88,8,Feb 22-24
alita: battle angel,2019,normal weekend,105.2,126.27,+10.7%,+9%,105197571,126265201,102,7,Feb 15-17
alita: battle angel,2019,Presidents' Day wknd,126.42,152.45,-,-,126415385,152447001,86,7,Feb 15-18
the lego movie 2: the second part,2019,normal weekend,95.03,115.81,+82.4%,+57.6%,95027517,115811896,93,6,Feb 8-10
glass,2019,normal weekend,52.09,73.46,-29.4%,-29%,52087190,73462968,85,5,Feb 1-3
glass,2019,normal weekend,73.82,103.5,-32.6%,-20.2%,73819238,103503701,82,4,Jan 25-27
glass,2019,MLK wknd,134.43,162.37,-,-,134433589,162367073,69,3,Jan 18-21
glass,2019,normal weekend,109.52,129.78,+13.2%,+8.5%,109523159,129779595,78,3,Jan 18-20
the upside,2019,normal weekend,96.78,119.64,-18.7%,-13.8%,96775974,119640159,86,2,Jan 11-13
aquaman,2019,normal weekend,119.01,138.87,-28.2%,-26.2%,119007739,138872261,89,1,Jan 4-6
wonder woman 1984,2020,COVID-19 Pandemic,23.78,24.23,+253.4%,+217.7%,23780363,24226397,34,52,Dec 25-27
monster hunter,2020,COVID-19 Pandemic,6.73,7.63,+20.2%,+13.8%,6729235,7625545,41,51,Dec 18-20
the croods: a new age,2020,COVID-19 Pandemic,5.6,6.7,-24.7%,-20.2%,5596422,6701727,38,50,Dec 11-13
the croods: a new age,2020,COVID-19 PandemicPost-Thanksgiving,7.44,8.4,-43.8%,-40.7%,7435065,8397393,41,49,Dec 4-6
the croods: a new age,2020,COVID-19 PandemicThanksgiving 3-Day,13.23,14.15,+145.8%,+120.9%,13230347,14152936,41,48,Nov 27-29
the croods: a new age,2020,COVID-19 PandemicThanksgiving 4-Day,16.64,17.66,-,-,16639253,17660248,29,48,Nov 26-29
the croods: a new age,2020,COVID-19 PandemicThanksgiving 5-Day,19.09,20.25,-,-,19086132,20251599,36,48,Nov 25-29
freaky,2020,COVID-19 Pandemic,5.38,6.41,-47.9%,-43.7%,5383632,6407571,45,47,Nov 20-22
freaky,2020,COVID-19 Pandemic,10.33,11.39,-3.5%,+0.2%,10333176,11385467,42,46,Nov 13-15
let him go,2020,COVID-19 Pandemic,10.71,11.36,+22.8%,+16.9%,10713492,11360646,44,45,Nov 6-8
come play,2020,COVID-19 Pandemic,8.72,9.72,-8%,-12.3%,8721044,9719168,49,44,Oct 30-Nov 1
honest thief,2020,COVID-19 Pandemic,9.48,11.08,-21.5%,-14.6%,9478057,11083713,53,43,Oct 23-25
honest thief,2020,COVID-19 Pandemic,12.07,12.98,+26.7%,+24.8%,12070817,12983807,57,42,Oct 16-18
the war with grandpa,2020,COVID-19 PandemicIndig. Peoples' Day wknd,10.44,11.26,-,-,10436872,11259812,32,41,Oct 9-12
the war with grandpa,2020,COVID-19 Pandemic,9.53,10.4,+17.7%,+14.4%,9528676,10403028,49,41,Oct 9-11
tenet,2020,COVID-19 Pandemic,8.1,9.1,-5.2%,-3%,8095048,9097364,44,40,Oct 2-4
tenet,2020,COVID-19 Pandemic,8.53,9.38,-20.7%,-16.3%,8534687,9381528,39,39,Sep 25-27
tenet,2020,COVID-19 Pandemic,10.76,11.2,-13.1%,-10.5%,10757062,11202723,30,38,Sep 18-20
tenet,2020,COVID-19 Pandemic,12.37,12.52,-23.1%,-22.7%,12372594,12520457,25,37,Sep 11-13
tenet,2020,COVID-19 PandemicLabor Day wknd,19.77,19.86,-,-,19765372,19858242,25,36,Sep 4-7
tenet,2020,COVID-19 Pandemic,16.1,16.2,+13.4%,+12.6%,16098628,16199436,29,36,Sep 4-6
the new mutants,2020,COVID-19 Pandemic,14.2,14.38,+121.6%,+111.9%,14201687,14384961,32,35,Aug 28-30
unhinged,2020,COVID-19 Pandemic,6.41,6.79,+227.2%,+234.4%,6409085,6789865,30,34,Aug 21-23
the spongebob movie: sponge on the run,2020,COVID-19 Pandemic,1.96,2.03,+79.4%,+77.9%,1958968,2030461,28,33,Aug 14-16
the tax collector,2020,COVID-19 Pandemic,1.09,1.14,+7.8%,+8.7%,1092176,1141656,22,32,Aug 7-9
the rental,2020,COVID-19 Pandemic,1.01,1.05,+50.1%,+55.5%,1012992,1050735,19,31,Jul 31-Aug 2
the rental,2020,COVID-19 Pandemic,0.68,0.68,-68.1%,-69.8%,675043,675578,11,30,Jul 24-26
beauty and the beast2020 re-release,2020,COVID-19 Pandemic,2.12,2.23,-6%,-7.1%,2115079,2234047,20,29,Jul 17-19
star wars: episode v - the empire strikes back2020 re-release,2020,COVID-19 Pandemic,2.25,2.4,+156.4%,+171.5%,2250891,2404819,24,28,Jul 10-12
ghostbusters2020 re-release,2020,COVID-19 Pandemic,0.88,0.89,+202%,+202.6%,877966,885784,15,27,Jul 3-5
becky,2020,COVID-19 Pandemic,0.29,0.29,-80.6%,-80.5%,290744,292757,14,26,Jun 26-28
jurassic park2020 re-release,2020,COVID-19 Pandemic,1.5,1.5,+186.6%,+187.3%,1496203,1500561,17,25,Jun 19-21
becky,2020,COVID-19 Pandemic,0.52,0.52,+23.8%,+23.9%,522105,522278,12,24,Jun 12-14
becky,2020,COVID-19 Pandemic,0.42,0.42,+105.8%,+105.8%,421572,421572,10,23,Jun 5-7
the wretched,2020,COVID-19 Pandemic,0.2,0.2,-7.1%,-7.1%,204881,204881,8,22,May 29-31
the wretched,2020,COVID-19 Pandemic,0.22,0.22,+68.9%,+68.9%,220573,220573,6,21,May 22-24
the wretched,2020,COVID-19 PandemicMemorial Day wknd,0.24,0.24,-,-,240390,240390,6,21,May 22-25
the wretched,2020,COVID-19 Pandemic,0.13,0.13,+51.1%,+51.1%,130583,130583,6,20,May 15-17
the wretched,2020,COVID-19 Pandemic,0.09,0.09,-6.5%,-6.5%,86428,86428,6,19,May 8-10
the wretched,2020,COVID-19 Pandemic,0.09,0.09,+665.9%,+665.9%,92387,92387,4,18,May 1-3
true history of the kelly gang,2020,COVID-19 Pandemic,0.01,0.01,+130%,+130%,12062,12062,2,17,Apr 24-26
resistance,2020,COVID-19 Pandemic,0.01,0.01,-64.1%,-64.1%,5245,5245,3,16,Apr 17-19
"phoenix, oregonre-release",2020,COVID-19 Pandemic,0.01,0.01,+256.7%,+256.7%,14612,14612,3,15,Apr 10-12
swallow,2020,COVID-19 PandemicEaster wknd,0.0,0.0,-,-,3675,3675,2,15,Apr 10-13
"phoenix, oregonre-release",2020,COVID-19 Pandemic,0.0,0.0,+9%,+9%,4097,4097,2,14,Apr 3-5
strike,2020,COVID-19 Pandemic,0.0,0.0,-9.7%,-9.7%,3758,3758,3,13,Mar 27-29
"phoenix, oregonre-release",2020,COVID-19 Pandemic,0.0,0.0,-100%,-100%,4160,4160,3,12,Mar 20-22
onward,2020,COVID-19 Pandemic,49.58,53.71,-45.2%,-46.7%,49580363,53706394,82,11,Mar 13-15
onward,2020,normal weekend,90.4,100.77,+8.3%,+3.5%,90403859,100774559,103,10,Mar 6-8
the invisible man,2020,normal weekend,83.49,97.37,-3.6%,-5.1%,83485776,97373222,95,9,Feb 28-Mar 1
sonic the hedgehog,2020,normal weekend,86.61,102.57,-38.1%,-34.3%,86611757,102566656,94,8,Feb 21-23
sonic the hedgehog,2020,normal weekend,140.01,156.17,+72.6%,+63.6%,140013866,156172047,85,7,Feb 14-16
sonic the hedgehog,2020,Presidents' Day wknd,163.92,182.92,-,-,163923226,182920720,78,7,Feb 14-17
