movie_title,year,occasion,top_10_gross_in_millions,overall_gross_in_millions,top10_wow_change,overall_wow_change,top10_gross,overall_gross,num_releases,week_no,date
hansel & gretel: witch hunters,2013,normal weekend,81.2,112.23,-24.6%,-19.7%,81203152,112228923,91,4,Jan 25-27
mama,2013,MLK wknd,125.7,165.34,-,-,125704597,165335690,68,3,Jan 18-21
mama,2013,normal weekend,107.74,139.77,-4%,-0.6%,107738398,139772817,92,3,Jan 18-20
zero dark thirty,2013,normal weekend,112.19,140.67,-3.7%,-4.7%,112186149,140670134,95,2,Jan 11-13
texas chainsaw,2013,normal weekend,116.47,147.63,-25%,-18.7%,116465689,147632550,96,1,Jan 4-6
the hobbit: the battle of the five armies,2014,normal weekend,178.5,209.57,+46.2%,+55.1%,178499687,209570080,83,52,Dec 26-28
the hobbit: the battle of the five armies,2014,normal weekend,122.06,135.11,+65.4%,+60.8%,122059385,135107375,78,51,Dec 19-21
exodus: gods and kings,2014,normal weekend,73.81,84.01,+8.4%,+7.5%,73808138,84013268,100,50,Dec 12-14
the hunger games: mockingjay - part 1,2014,Post-Thanksgiving,68.1,78.18,-55.2%,-52.3%,68103918,78180686,96,49,Dec 5-7
the hunger games: mockingjay - part 1,2014,Thanksgiving 3-Day,151.85,163.79,-17.7%,-15.9%,151851533,163791775,97,48,Nov 28-30
the hunger games: mockingjay - part 1,2014,Thanksgiving 4-Day,179.11,189.77,-,-,179114437,189771521,52,48,Nov 27-30
the hunger games: mockingjay - part 1,2014,Thanksgiving 5-Day,214.78,226.98,-,-,214781730,226978340,52,48,Nov 26-30
the hunger games: mockingjay - part 1,2014,normal weekend,184.47,194.68,+46.7%,+38.5%,184467355,194683879,97,47,Nov 21-23
dumb and dumber to,2014,normal weekend,125.73,140.55,-11.9%,-10.5%,125728488,140548635,108,46,Nov 14-16
big hero 6,2014,normal weekend,142.64,157.11,+90.6%,+65.4%,142643895,157108227,121,45,Nov 7-9
ouija,2014,normal weekend,74.84,95.0,-22.9%,-18.1%,74843496,94999696,120,44,Oct 31-Nov 2
ouija,2014,normal weekend,97.07,116.02,-15.8%,-12%,97071579,116024797,122,43,Oct 24-26
fury,2014,normal weekend,115.23,131.79,-12.3%,-10.6%,115233422,131793399,117,42,Oct 17-19
gone girl,2014,normal weekend,131.38,147.46,-3.6%,-1.3%,131383392,147462707,122,41,Oct 10-12
gone girl,2014,Indig. Peoples' Day wknd,150.01,166.94,-,-,150009908,166940703,63,41,Oct 10-13
gone girl,2014,normal weekend,136.25,149.45,+42%,+38.8%,136249161,149452204,123,40,Oct 3-5
the equalizer,2014,normal weekend,95.97,107.68,+6.6%,+4.3%,95966661,107678203,131,39,Sep 26-28
the maze runner,2014,normal weekend,90.0,103.24,+22.8%,+12.9%,90003667,103238746,124,38,Sep 19-21
no good deed,2014,normal weekend,73.3,91.4,+52.4%,+38.1%,73297493,91402770,122,37,Sep 12-14
guardians of the galaxy,2014,normal weekend,48.08,66.16,-41.9%,-39.6%,48083368,66163578,120,36,Sep 5-7
guardians of the galaxy,2014,normal weekend,82.78,109.55,-14.8%,-4.7%,82775516,109546806,109,35,Aug 29-31
guardians of the galaxy,2014,Labor Day wknd,107.18,141.28,-,-,107180218,141284370,94,35,Aug 29-Sep 1
guardians of the galaxy,2014,normal weekend,97.18,114.97,-22.2%,-19.5%,97178514,114968447,104,34,Aug 22-24
teenage mutant ninja turtles,2014,normal weekend,124.99,142.85,-26.4%,-23.3%,124986010,142851832,105,33,Aug 15-17
teenage mutant ninja turtles,2014,normal weekend,169.71,186.26,+1.1%,<0.1%,169712505,186257061,115,32,Aug 8-10
guardians of the galaxy,2014,normal weekend,167.78,186.41,+27.1%,+20.4%,167783615,186409629,109,31,Aug 1-3
lucy,2014,normal weekend,132.02,154.79,+1.1%,+3.7%,132017659,154787126,117,30,Jul 25-27
dawn of the planet of the apes,2014,normal weekend,130.55,149.21,-2.4%,-0.7%,130550571,149206140,104,29,Jul 18-20
dawn of the planet of the apes,2014,World Cup (Brazil),133.8,150.19,+16%,+13.4%,133801344,150191251,117,28,Jul 11-13
transformers: age of extinction,2014,World Cup (Brazil),115.35,132.44,-32.6%,-26.5%,115345546,132438349,110,27,Jul 4-6
transformers: age of extinction,2014,World Cup (Brazil),171.04,180.1,+26%,+23.4%,171037682,180104687,124,26,Jun 27-29
think like a man too,2014,World Cup (Brazil),135.79,145.92,-23.4%,-22%,135785499,145919699,112,25,Jun 20-22
22 jump street,2014,World Cup (Brazil),177.28,187.05,+15.3%,+14.8%,177277722,187054204,124,24,Jun 13-15
the fault in our stars,2014,normal weekend,153.81,163.0,-2.5%,-2.1%,153810858,162996895,111,23,Jun 6-8
maleficent,2014,normal weekend,157.68,166.53,-10.1%,-11.1%,157680341,166531884,110,22,May 30-Jun 1
x-men: days of future past,2014,normal weekend,175.35,187.3,+4.7%,+4.9%,175346822,187304335,108,21,May 23-25
x-men: days of future past,2014,Memorial Day wknd,216.73,232.1,-,-,216734334,232102154,103,21,May 23-26
godzilla,2014,normal weekend,167.4,178.53,+35.2%,+30.6%,167395914,178532518,110,20,May 16-18
neighbors,2014,normal weekend,123.85,136.75,-12.5%,-11.3%,123849070,136748446,113,19,May 9-11
the amazing spider-man 2,2014,normal weekend,141.52,154.09,+45.2%,+31.9%,141515375,154089137,117,18,May 2-4
