rank,title,year,release_date,genre,prod_cost_range_million,worldwide_gross_range_million,domestic_gross_range_million,production_cost,domestic_gross,worldwide_gross,opening_weekend,theaters,runtime
433,the expendables 2,2012,2012-08-15,Action,96-101,303-313,80-85,100000000,85028192,311979256,28591370.0,3355.0,103.0
434,where the wild things are,2009,2009-10-16,Adventure,96-101,93-103,75-80,100000000,77233467,99123656,32695407.0,3735.0,100.0
435,eragon,2006,2006-12-15,Adventure,96-101,243-253,70-75,100000000,75030163,249488115,23239907.0,3030.0,104.0
436,hercules,2014,2014-07-23,Adventure,96-101,233-243,70-75,100000000,72688614,243388614,29800263.0,3595.0,97.0
437,the tourist,2010,2010-12-10,Thriller/Suspense,96-101,273-283,65-70,100000000,67631157,278731369,16472458.0,2756.0,102.0
438,end of days,1999,1999-11-24,Action,96-101,203-213,65-70,100000000,66889043,212026975,20523595.0,2665.0,120.0
439,spies in disguise,2019,2019-12-25,Adventure,96-101,163-173,65-70,100000000,66757013,165138481,13354798.0,3502.0,104.0
440,the stepford wives,2004,2004-06-11,Black Comedy,96-101,93-103,55-60,100000000,59475623,96150482,21406781.0,3057.0,93.0
441,surf’s up,2007,2007-06-08,Adventure,96-101,143-153,55-60,100000000,58867694,145395745,17640249.0,3531.0,85.0
442,blood diamond,2006,2006-12-08,Action,96-101,163-173,55-60,100000000,57377916,171377916,8648324.0,1920.0,143.0
443,midway,2019,2019-11-07,Action,96-101,123-133,55-60,100000000,56846802,126829063,17897419.0,3242.0,138.0
444,legend of the guardians: the owls of ga'hoole,2010,2010-09-24,Adventure,96-101,133-143,50-55,100000000,55675313,139716717,16112211.0,3575.0,90.0
445,land of the lost,2009,2009-06-05,Comedy,96-101,63-73,45-50,100000000,49438370,69548641,18837350.0,3534.0,102.0
446,peter pan,2003,2003-12-18,Adventure,96-101,93-103,45-50,100000000,48417850,95255485,11139495.0,2813.0,113.0
447,wonder park,2019,2019-03-15,Adventure,96-101,113-123,40-45,100000000,45216793,115112118,15853646.0,3838.0,93.0
448,catwoman,2004,2004-07-23,Action,96-101,73-83,35-40,100000000,40202379,82078046,16728411.0,3117.0,101.0
449,the expendables 3,2014,2014-08-14,Action,96-101,203-213,35-40,100000000,39322544,209461378,15879645.0,3221.0,103.0
450,west side story,2021,2021-12-08,Musical,96-101,73-83,35-40,100000000,38530322,75011257,10574618.0,2820.0,156.0
451,treasure planet,2002,2002-11-27,Adventure,96-101,83-93,35-40,100000000,38120554,91800000,12083248.0,3227.0,95.0
452,the king’s man,2021,2021-12-22,Action,96-101,113-123,35-40,100000000,37176373,121125300,5915542.0,3180.0,131.0
453,green zone,2010,2010-03-12,Drama,96-101,93-103,30-35,100000000,35497337,97523020,14309295.0,3004.0,114.0
454,geostorm,2017,2017-10-13,Thriller/Suspense,96-101,213-223,30-35,100000000,33700160,220796009,13707376.0,3246.0,109.0
455,point break,2015,2015-12-02,Action,96-101,123-133,25-30,100000000,28782481,126704591,9800252.0,2910.0,113.0
456,cats,2019,2019-12-17,Musical,96-101,73-83,25-30,100000000,27166770,75558925,6619870.0,3380.0,110.0
457,in the heart of the sea,2015,2015-11-26,Adventure,96-101,83-93,20-25,100000000,25020758,89693309,11053366.0,3103.0,121.0
458,transcendence,2014,2014-04-18,Thriller/Suspense,96-101,93-103,20-25,100000000,23022309,103039258,10886386.0,3455.0,119.0
459,son of the mask,2005,2005-02-18,Adventure,96-101,53-63,15-20,100000000,17018422,59918422,7511675.0,2966.0,94.0
460,mortal engines,2018,2018-12-05,Action,96-101,83-93,10-15,100000000,15951040,85480271,7559850.0,3103.0,128.0
461,chaos walking,2021,2021-02-03,Action,96-101,23-33,10-15,100000000,13287908,27075660,3775350.0,2132.0,108.0
462,the last duel,2021,2021-10-13,Drama,96-101,23-33,5-10,100000000,10853945,30055233,4759151.0,3065.0,153.0
464,jin líng shí san chai,2012,2012-01-20,Drama,96-101,93-103,-5-0,100000000,311434,98227017,48558.0,30.0,141.0
467,the peanuts movie,2015,2015-11-05,Adventure,96-101,243-253,125-130,99000000,130178411,250091610,44213073.0,3902.0,89.0
468,the lego movie 2: the second part,2019,2019-02-06,Adventure,96-101,183-193,100-105,99000000,105806508,190131036,34115335.0,4303.0,107.0
469,robin hood,2018,2018-11-21,Action,96-101,83-93,25-30,99000000,30824628,85210012,36063385.0,3505.0,139.0
470,the mummy returns,2001,2001-05-04,Adventure,96-101,433-443,200-205,98000000,202007640,435040395,68139035.0,3553.0,129.0
471,ford v. ferrari,2019,2019-11-14,Drama,96-101,223-233,115-120,97600000,117624357,224418748,31474958.0,3746.0,152.0
472,gangs of new york,2002,2002-12-20,Drama,96-101,173-183,75-80,97000000,77730500,183124621,9496870.0,2340.0,155.0
473,alien: covenant,2017,2017-05-04,Horror,96-101,233-243,70-75,97000000,74262031,238521247,36160621.0,3772.0,123.0
474,cinderella,2015,2015-03-06,Drama,91-96,533-543,200-205,95000000,201151353,542351353,67877361.0,3848.0,105.0
475,ice age: continental drift,2012,2012-06-27,Adventure,91-96,873-883,160-165,95000000,161321843,879765137,46629259.0,3886.0,87.0
476,black hawk down,2001,2001-12-28,Action,91-96,153-163,105-110,95000000,108638745,159691085,179823.0,3143.0,144.0
477,sex and the city 2,2010,2010-05-27,Comedy,91-96,293-303,90-95,95000000,95347692,294680778,31001870.0,3445.0,146.0
478,percy jackson & the olympians: the lightning thief,2010,2010-02-12,Adventure,91-96,213-223,85-90,95000000,88768303,223050874,31236067.0,3396.0,119.0
479,the campaign,2012,2012-08-10,Comedy,91-96,103-113,85-90,95000000,86907746,104907746,26588460.0,3302.0,85.0
480,unstoppable,2010,2010-11-12,Action,91-96,163-173,80-85,95000000,81562942,165720921,22688457.0,3261.0,98.0
481,the fifth element,1997,1997-05-09,Action,91-96,253-263,60-65,95000000,63570862,263893838,17031345.0,2500.0,126.0
482,the road to el dorado,2000,2000-03-31,Adventure,91-96,63-73,45-50,95000000,50802661,65700000,12846652.0,3223.0,89.0
483,the lovely bones,2009,2009-12-11,Drama,91-96,93-103,40-45,95000000,44114232,94894448,116616.0,2638.0,135.0
484,ben-hur,2016,2016-06-30,Adventure,91-96,83-93,25-30,95000000,26410477,91669648,11203815.0,3084.0,123.0
485,seventh son,2014,2014-12-19,Adventure,91-96,103-113,15-20,95000000,17725785,108874967,7217640.0,2875.0,102.0
486,finding nemo,2003,2003-05-30,Adventure,91-96,933-943,375-380,94000000,380529370,936094852,70251710.0,3425.0,100.0
487,the lord of the rings: the return of the king,2003,2003-12-17,Adventure,91-96,1113-1123,375-380,94000000,377845905,1120214046,72629713.0,3703.0,201.0
488,the lord of the rings: the two towers,2002,2002-12-18,Adventure,91-96,913-923,340-345,94000000,342548984,919148764,62007528.0,3622.0,179.0
489,lara croft: tomb raider,2001,2001-06-15,Adventure,91-96,263-273,130-135,94000000,131144183,273330185,47735743.0,3349.0,100.0
490,kingsman: the secret service,2015,2015-01-29,Action,91-96,403-413,125-130,94000000,128261724,404561724,36206331.0,3282.0,129.0
491,the lord of the rings: the fellowship of the ring,2001,2001-12-19,Adventure,91-96,883-893,310-315,93000000,315544750,891216824,47211490.0,3381.0,179.0
492,jurassic park iii,2001,2001-07-18,Action,91-96,363-373,180-185,93000000,181166115,365900000,50771645.0,3470.0,93.0
493,rise of the planet of the apes,2011,2011-08-05,Adventure,91-96,463-473,175-180,93000000,176760185,470986200,54806191.0,3691.0,120.0
494,the spiderwick chronicles,2008,2008-02-14,Adventure,91-96,153-163,70-75,92500000,71195053,162839667,19004058.0,3847.0,96.0
495,the incredibles,2004,2004-10-22,Adventure,91-96,623-633,260-265,92000000,261441092,631441092,70467623.0,3933.0,115.0
496,a good day to die hard,2013,2013-02-06,Action,91-96,303-313,65-70,92000000,67349198,304249198,24834845.0,3555.0,98.0
497,the alamo,2004,2004-04-09,Western,91-96,13-23,20-25,92000000,22406362,23911362,9124701.0,2609.0,137.0
499,the secret life of walter mitty,2013,2013-12-19,Adventure,86-91,183-193,55-60,91000000,58236838,187861183,12765508.0,2922.0,114.0
